english,bangla,chittagonian
The 1930 Chittagong Armoury Raid has inspired many paintings and films.,১৯৩০ সালের চট্টগ্রাম অস্ত্রাগার লুণ্ঠন অনেক চিত্রকর্ম ও চলচ্চিত্রকে অনুপ্রাণিত করেছে।,১৯৩০ সালর অস্ত্রাগার লুণ্ঠন মেলা ছবি আর সিনেমা তৈয়ারত সাহায্য গইজ্জে।
He restores old Chittagonian instruments that would otherwise be lost.,সে পুরনো চাটগাঁইয়া বাদ্যযন্ত্র পুনরুদ্ধার করে যা অন্যথায় হারিয়ে যেত।,ইতে পুরানা বাদ্যযন্ত্র অঅল আরবার ঠিক গরে যা হারাই গিয়্যি।
The literary festival in Chittagong draws writers from all over Bangladesh.,চট্টগ্রামের সাহিত্য উৎসব সারা বাংলাদেশ থেকে লেখকদের আকর্ষণ করে।,চাটগাঁর সাহিত্য মেলাত গোট্টা বাংলাদেশর লেহক অঅল আইয়ে।
She wrote a poem in Chittagonian that won the national poetry prize.,সে চাটগাঁইয়ায় একটি কবিতা লিখেছে যা জাতীয় কবিতা পুরস্কার জিতেছে।,ইতে চাটগাঁইয়া হতায় কবিতা লিখি পুরস্কার পাইয়্যে।
Traditional Chittagonian cooking is itself an art form passed through families.,ঐতিহ্যগত চাটগাঁইয়া রান্না নিজেই পরিবারের মধ্য দিয়ে চলে আসা একটি শিল্পরূপ।,চাটগাঁর পুরানা রান্ধন অইলো পরিবারর মেলা বড় কায়দা।
He says that every Chittagonian dialect sentence carries a melody inside it.,সে বলে প্রতিটি চাটগাঁইয়া উপভাষার বাক্যের ভেতরে একটি সুর আছে।,ইতে কয় চাটগাঁইয়া হতার পত্তি লাইনের ভিতর এক্কান সুর আছে।
The night market in Chittagong sells handmade crafts from the hill communities.,চট্টগ্রামের রাতের বাজারে পাহাড়ি সম্প্রদায়ের হস্তনির্মিত শিল্পকর্ম বিক্রি হয়।,চাটগাঁর রাইতর বাজারত ফাহাড়ি মাইনষর হাতর কাজ বেচে।
She directs a community theatre group that performs in the Chittagonian dialect.,সে একটি কমিউনিটি থিয়েটার দল পরিচালনা করে যা চাটগাঁইয়া উপভাষায় পরিবেশন করে।,ইতে এক্কান থিয়েটার দল চালায় যা চাটগাঁইয়া হতায় নাটক গরে।
The traditional nakshi kantha quilts of Chittagong tell stories in stitches.,চট্টগ্রামের ঐতিহ্যগত নকশি কাঁথা সেলাইয়ে গল্প বলে।,চাটগাঁর নকশি কাঁথা সেলাই দি কিসসা কয়।
He believes art is the deepest form of documentation a culture can create.,সে বিশ্বাস করে শিল্প হলো একটি সংস্কৃতির তৈরি করা সবচেয়ে গভীর নথিপত্র।,ইতে বিশ্বাস গরে শিল্প অইলো সংস্কৃতির আসল প্রমাণ।
She sings lullabies to her children in Chittagonian so they grow up knowing it.,সে শিশুদের চাটগাঁইয়ায় ঘুমপাড়ানি গান গায় যাতে তারা জেনে বড় হয়।,ইতে ফুয়া অঅলেরে চাটগাঁইয়া ঘুম পাড়ানি গান গায়।
The Chittagonian oral poetry tradition is one of Bangladesh's hidden treasures.,চাটগাঁইয়া মৌখিক কবিতার ঐতিহ্য বাংলাদেশের লুকানো সম্পদগুলোর একটি।,চাটগাঁর মৌখিক কবিতা বাংলাদেশর লুকাই থাহা সম্পদ।
He spent a year documenting traditional boat-building techniques on film.,সে এক বছর ঐতিহ্যগত নৌকা নির্মাণের কৌশল চলচ্চিত্রে নথিভুক্ত করে কাটিয়েছে।,ইতে এক বছর নৌহা বানিবার কায়দা সিনেমা গরি রাখি দিয়্যি।
The Chittagonian style of embroidery uses sea motifs and hill patterns together.,চাটগাঁইয়া সূচিকর্মের শৈলীতে সমুদ্রের মোটিফ ও পাহাড়ের নকশা একসাথে ব্যবহার হয়।,চাটগাঁর সেলাইর নিয়ম দরিয়া আর ফাড়র নকশা একলয় অয়।
She reads Chittagonian poetry aloud to feel the rhythm of the language.,সে ভাষার ছন্দ অনুভব করতে চাটগাঁইয়া কবিতা声সরে পড়ে।,ইতে হতার সুর বুজিত চাটগাঁইয়া কবিতা ফড়ে।
Art in the dialect keeps the language alive in ways that dictionaries cannot.,উপভাষায় শিল্প ভাষাকে জীবন্ত রাখে যেভাবে অভিধান পারে না।,আঞ্চলিক শিল্প ভাষারে ওলা বাঁচাই রাহে যা অভিধান ফারে না।
The fishermen's songs sung at sea are the oldest music of Chittagong.,সমুদ্রে গাওয়া জেলেদের গান চট্টগ্রামের সবচেয়ে পুরনো সংগীত।,দরিয়াত গাওয়া জাইল্ল্যা অঅলের গান চাটগাঁর মেলা পুরানা সংগীত।
He trained as a classical tabla player but performs Chittagonian folk music.,সে শাস্ত্রীয় তবলা বাদক হিসেবে প্রশিক্ষণ নিয়েছে কিন্তু চাটগাঁইয়া লোকসংগীত পরিবেশন করে।,ইতে তবলা বাজান শিখিলেও চাটগাঁর পুরানা গান গায়।
She illustrated her thesis with hand-drawn maps of Chittagong's dialect regions.,সে থিসিস চট্টগ্রামের উপভাষা অঞ্চলের হাতে আঁকা মানচিত্র দিয়ে চিত্রিত করেছে।,ইতে থিসিসত চাটগাঁর মানচিত্র হাত দি আঁকি দিয়্যি।
Preserving cultural art forms is inseparable from preserving the language itself.,সাংস্কৃতিক শিল্পরূপ সংরক্ষণ ভাষা সংরক্ষণ থেকে অবিচ্ছেদ্য।,শিল্প আর ভাষা দুইয়নর সংরক্ষণ একসাথে অওন দরকার।
He plays the dhol at every mezban as his family has done for generations.,সে প্রতিটি মেজবানে ঢোল বাজায় যেমন তার পরিবার প্রজন্ম ধরে করে আসছে।,ইতে পত্তি মেজবানত ঢোল বাজায় যেলা ইতর বংশত আছিল।
The storytelling tradition of the Chittagonian grandmothers is dying out slowly.,চাটগাঁইয়া দাদিদের গল্প বলার ঐতিহ্য ধীরে ধীরে শেষ হয়ে যাচ্ছে।,চাটগাঁর দাদি অঅলের কিসসা কইবার নিয়ম আস্তে আস্তে হমি যারগৈ।
She learned to draw from her grandfather who was a boat carpenter.,সে তার দাদার কাছ থেকে আঁকা শিখেছে যিনি ছিলেন নৌকার কারপেন্টার।,ইতে ইতর দাদার হাত তুন ছবি আঁকন শিখ্যি যিনি নৌহা বানাইতো।
The wall paintings of fishing boats in Patiya tell the story of a whole community.,পটিয়ায় মাছ ধরার নৌকার দেয়াল চিত্র একটি পুরো সম্প্রদায়ের গল্প বলে।,পটিয়াত মাছ ধরার নৌহার ছবি গোট্টা মাইনষর কথা কয়।
He composes songs in Chittagonian to prove the dialect is musically rich.,সে চাটগাঁইয়ায় গান রচনা করে প্রমাণ করতে যে উপভাষা সংগীতে সমৃদ্ধ।,ইতে চাটগাঁইয়া গান বানায় ইয়া দেহাইতে যে চাটগাঁইয়া হতা মেলা গম।
She dances the traditional Chittagonian folk dance at national cultural events.,সে জাতীয় সাংস্কৃতিক অনুষ্ঠানে ঐতিহ্যগত চাটগাঁইয়া লোকনৃত্য পরিবেশন করে।,ইতে ন্যাশনাল কালচারাল অনুষ্ঠানে চাটগাঁইয়া নাচ দেখায়।
Art and language together form the soul of every living culture.,শিল্প ও ভাষা মিলে প্রতিটি জীবন্ত সংস্কৃতির আত্মা গঠন করে।,শিল্প আর ভাষা মিলি সংস্কৃতির প্রাণ বানায়।
Every piece of Chittagonian art is a conversation with the sea the hills and the past.,চাটগাঁইয়া শিল্পের প্রতিটি টুকরো সমুদ্র পাহাড় ও অতীতের সাথে একটি কথোপকথন।,"চাটগাঁর শিল্প অইলো দরিয়া, ফাড় আর পুরানা দিনর হতা।"
Because of the heavy rain the river flooded the lower fields.,ভারী বৃষ্টির কারণে নদী নিচের মাঠ প্লাবিত করেছে।,মেলা বৃষ্টি অইবার লাই নৈর পানি মাঠ ডুবাই দিয়্যি।
He studied hard therefore he passed the exam with distinction.,সে কঠোর পড়াশোনা করেছে তাই কৃতিত্বের সাথে পরীক্ষায় পাস করেছে।,ইতে মেলা হষ্ট করি ফড়ি পরীক্ষাত গম ফল গইজ্জে।
Standard Bangla is more formal whereas Chittagonian is more intimate.,প্রমিত বাংলা বেশি আনুষ্ঠানিক অন্যদিকে চাটগাঁইয়া বেশি আন্তরিক।,বাংলা হতা বেশি ফরমাল আর চাটগাঁইয়া হতা মেলা মায়ার।
The fish population declined because of overfishing and pollution together.,অতিরিক্ত মৎস্যশিকার ও দূষণ একসাথে হওয়ায় মাছের সংখ্যা কমেছে।,বেশি মাছ ধরন আর ময়লা ফেলনর লাই মাছ মেলা হমি গিয়্যি।
Unlike large language models small models can run on limited hardware.,বড় ভাষা মডেলের বিপরীতে ছোট মডেল সীমিত হার্ডওয়্যারে চলতে পারে।,বড় মডেলর বদলে ছোট মডেল হম মেমোরিতও কাম গরে।
She succeeded as a result of years of patient and consistent effort.,বছরের পর বছর ধৈর্যশীল ও ধারাবাহিক প্রচেষ্টার ফলে সে সফল হয়েছে।,মেলা বছর ধৈর্য ধরি হাজ গইজ্জে দে অইবার লাই ইতে সফল অইয়ে।
Dhaka is more crowded than Chittagong but Chittagong has more character.,ঢাকা চট্টগ্রামের চেয়ে বেশি ঘিঞ্জি কিন্তু চট্টগ্রামে বেশি বৈশিষ্ট্য আছে।,ঢাকা চাটগাঁর তুন বেশি মাইনষর ভিড় কিন্তু চাটগাঁর আলাদা রূপ আছে।
Since the government lifted the fishing ban the catch has increased significantly.,সরকার মাছ ধরার নিষেধাজ্ঞা তুলে নেওয়ার পর থেকে ধরা মাছের পরিমাণ উল্লেখযোগ্যভাবে বেড়েছে।,সরকার মানা তোলবার পর মাছ ধরার পরিমাণ মেলা বাড়ি গিয়্যি।
QLoRA is more memory efficient than standard LoRA due to additional quantization.,অতিরিক্ত কোয়ান্টাইজেশনের কারণে QLoRA প্রমিত LoRA-এর চেয়ে বেশি মেমোরি দক্ষ।,কোয়ান্টাইজেশনর লাই QLoRA মেমোরিত মেলা সুবিধা দেয়।
As a result of climate change the monsoon pattern in Chittagong is changing.,জলবায়ু পরিবর্তনের ফলে চট্টগ্রামে বর্ষার ধরন পরিবর্তন হচ্ছে।,আবহাওয়া বদলর লাই চাটগাঁর বষ্যার নিয়ম বদলাই যারগৈ।
Both Chittagonian and Sylheti are distinct dialects yet both derive from Bangla.,চাটগাঁইয়া ও সিলেটি উভয়ই আলাদা উপভাষা তবু উভয়ই বাংলা থেকে উদ্ভূত।,চাটগাঁইয়া আর সিলেটি দুইয়ন আলাদা আঞ্চলিক হতা অইলেও দুইয়ন বাংলা তুন আইয়্যে।
She got the promotion because she consistently delivered results beyond expectations.,সে পদোন্নতি পেয়েছে কারণ সে ধারাবাহিকভাবে প্রত্যাশার চেয়ে বেশি ফলাফল দিয়েছে।,ইতে প্রোমোশন পাইয়্যে কারণ ইতে সব সময় আশার তুন বেশি গম রেজাল্ট দিয়্যি।
Handwritten texts are harder to digitise than printed ones therefore digitisation is slow.,হাতে লেখা গ্রন্থ মুদ্রিতের চেয়ে ডিজিটাল করা কঠিন তাই ডিজিটাইজেশন ধীর।,"হাতত লেহা বই কম্পিউটারত তুলন মেলা হষ্ট, ওত্থাল্লাই ইয়ান আস্তে আস্তে অয়/ওয়।"
The Chittagonian coast is warmer than the inland areas due to the sea current.,সামুদ্রিক স্রোতের কারণে চাটগাঁইয়া উপকূল অভ্যন্তরীণ এলাকার চেয়ে উষ্ণ।,দরিয়ার বাতাসর লাই চাটগাঁর হূল বরের জাগা তুন বেশি গরম।
He missed the bus as a result of waking up late so he had to walk.,দেরিতে উঠার কারণে বাস মিস হয়েছে তাই হেঁটে যেতে হয়েছে।,"দেরি করি উডনর লাই বাস হারাই গিয়্যি, ওত্থাল্লাই হাঁডি আইত অইয়ে।"
BLEU score measures word overlap while chrF measures character level similarity.,ব্লু স্কোর শব্দের ওভারল্যাপ পরিমাপ করে আর ক্রফ অক্ষর স্তরের মিল পরিমাপ করে।,ব্লু স্কোর শব্দর মিল বুজে আর ক্রফ হরফর মিল মেপে।
Because the village has no school children must walk five kilometres to study.,গ্রামে স্কুল নেই বলে শিশুদের পড়তে পাঁচ কিলোমিটার হেঁটে যেতে হয়।,গাঁঅত ইশকুল নাই ওত্থাল্লাই ফুয়া অঅলেরে পাঁচ কিলোমিটার হাঁডি ফড়িত যাওন পরে।
Unlike oil-based fishing modern trawlers use sonar which depletes fish faster.,তেল-চালিত মৎস্যশিকারের বিপরীতে আধুনিক ট্রলার সোনার ব্যবহার করে যা দ্রুত মাছ হ্রাস করে।,তেলের নৌহার বদলে নুয়া ট্রলারত সোনার ব্যবহার গরণর লাই মাছ তাড়াতাড়ি হমি যারগৈ।
Since Chittagong is a port city its dialect absorbed words from many languages.,চট্টগ্রাম বন্দর শহর হওয়ায় তার উপভাষা অনেক ভাষা থেকে শব্দ শোষণ করেছে।,চাটগাঁ বন্দরর শহর অইবার লাই ইয়ার আঞ্চলিক হতায় মেলা ভাষার শব্দ আই ফঁইচ্ছে।
The more data the model sees during training the better its translation becomes.,প্রশিক্ষণে মডেল যত বেশি ডেটা দেখে তার অনুবাদ তত ভালো হয়।,ট্রেনিংত মডেল যত্তুন বেশি ডেটা দেখে ইতর অনুবাদ অত্তুন বেশি গম অয়/ওয়।
She arrived early therefore she got the best seat near the window.,সে আগে পৌঁছেছে তাই জানালার কাছে সেরা আসন পেয়েছে।,ইতে আগে ফঁইচ্ছে ওত্থাল্লাই জানালার হাছে গম সিট পাইয়্যে।
Coastal erosion worsens every monsoon because trees have been cut from the hills.,পাহাড় থেকে গাছ কাটা হওয়ায় প্রতি বর্ষায় উপকূলীয় ক্ষয় আরও খারাপ হচ্ছে।,ফাড় তুন গাছ হাডি ফেলাইবার লাই পত্তি বষ্যাত দরিয়ার হূলর মাটি ভাঙি যারগৈ।
Gemma-2B-IT performs better than the base model because it is instruction-tuned.,Gemma-2B-IT বেস মডেলের চেয়ে ভালো পারফর্ম করে কারণ এটা ইন্সট্রাকশন-টিউন করা।,Gemma-2B-IT মেইন মডেলর তুন বেশি গম কারণ ইয়ান ইনস্ট্রাকশন দি শিখানি অইয়ে।
He chose fish farming over fishing because it is more stable and predictable.,সে মৎস্যশিকারের বদলে মাছ চাষ বেছে নিয়েছে কারণ এটা বেশি স্থিতিশীল ও পূর্বানুমানযোগ্য।,ইতে মাছ ধরনর বদলে মাছর ঘের গরণ বাছি লইয়্যি কারণ ইয়ান মেলা গম।
As a result of urbanisation many young people have left their dialect behind.,নগরায়নের ফলে অনেক তরুণ তাদের উপভাষা পেছনে ফেলে এসেছে।,শহর অইবার লাই মেলা জোয়ান ফুয়া ইতারার আঞ্চলিক হতা ভুলি যারগৈ।
The informal economy thrives because it requires no paperwork or registration.,অনানুষ্ঠানিক অর্থনীতি সমৃদ্ধ হয় কারণ এতে কোনো কাগজপত্র বা নিবন্ধন লাগে না।,ছোটখাটো বেবসা মেলা বাড়ি যারগৈ কারণ ইয়াত হঁন কাগজ-পত্রর ঝামেলা নাই।
Unlike printed texts oral languages leave no physical trace without documentation.,মুদ্রিত গ্রন্থের বিপরীতে মৌখিক ভাষা নথিভুক্তি ছাড়া কোনো শারীরিক চিহ্ন রাখে না।,লেহা বইর বদলে মুখে হতা কইলে ইয়ান লেহি ন রাহি হইলে হঁন চিহ্ন থাহে না।
She woke at four in the morning consequently she was the most focused all day.,সে ভোর চারটায় উঠেছে ফলে সারাদিন সে সবচেয়ে মনোযোগী ছিল।,ইতে বিয়ান চাইরটা বাজে উডিছে ওত্থাল্লাই গোট্টা দিন ইতর হাজত মেলা মন আছিল।
Since the dataset has balanced length distribution the model trains more evenly.,ডেটাসেটে সুষম দৈর্ঘ্যের বিতরণ থাকায় মডেল আরও সমানভাবে প্রশিক্ষণ নেয়।,ডাটাসেটত সব হতা ঠিকমতো আছিল ওত্থাল্লাই মডেল গম করি শিখি ফারিবে।
He worked two jobs simultaneously therefore he had no time to study.,সে একই সাথে দুটো কাজ করেছে তাই পড়াশোনার সময় ছিল না।,ইতে একলয় দুই ক্যান হাজ গইজ্জে ওত্থাল্লাই ফড়াশোনার সময় পাই নাই।
The mezban tradition strengthens community bonds because it requires collective effort.,মেজবান ঐতিহ্য সামাজিক বন্ধন মজবুত করে কারণ এতে সম্মিলিত প্রচেষ্টা লাগে।,মেজবানি নিয়ম মাইনষর মিল বাড়ায় কারণ ইয়াত বেগগুনর সাহায্য লাগে।
Because the thesis covers both NLP and linguistics it appeals to two audiences.,থিসিস এনএলপি ও ভাষাতত্ত্ব উভয় অন্তর্ভুক্ত করায় এটা দুই শ্রোতার কাছে আকর্ষণীয়।,থিসিসত এনএলপি আর ভাষা দুইয়ন আছে ওত্থাল্লাই ইয়ান বেগগুনর হাছে গম লাগিবো।
She trusted the process even when results were not immediately visible.,ফলাফল তাৎক্ষণিকভাবে দৃশ্যমান না হলেও সে প্রক্রিয়াকে বিশ্বাস করেছে।,লাভ লগে লগে ন দেহিলেও ইতে ইতর হাজর ওপর বিশ্বাস রাহ্যি।
Unlike water which flows downward kindness tends to spread in all directions.,নিচের দিকে প্রবাহিত হওয়া পানির বিপরীতে দয়া সব দিকে ছড়িয়ে পড়ে।,পানি তলে গইলেও দয়া বেগগুনর মাজে ছড়াই যায়।
He documented the dialect because he feared his children would never hear it.,সে উপভাষা নথিভুক্ত করেছে কারণ ভয় ছিল তার সন্তানরা কখনো এটা শুনবে না।,ইতে আঞ্চলিক হতা লেহি রাহ্যি কারণ ইতর ডর আছিল ইতর ফুয়াঅঅল ইয়ান হুনিত ন ফারিবে।
The model's accuracy improved as a direct result of adding more training data.,আরও প্রশিক্ষণ ডেটা যোগ করার সরাসরি ফলে মডেলের নির্ভুলতা উন্নত হয়েছে।,বেশি করি ট্রেনিংর ডেটা দিয়্যি ওত্থাল্লাই মডেলর রেজাল্ট মেলা গম অইয়ে।
Because this research bridges technology and culture it matters beyond academia.,এই গবেষণা প্রযুক্তি ও সংস্কৃতিকে সংযুক্ত করে বলে একাডেমিয়ার বাইরেও এটা গুরুত্বপূর্ণ।,ইয়া রিসার্চ টেকনোলজি আর সংস্কৃতির লয় মিল গইজ্জে ওত্থাল্লাই ইয়ান মেলা দরকারি।
She chose Chittagonian for her thesis because it is her mother tongue.,সে থিসিসের জন্য চাটগাঁইয়া বেছে নিয়েছে কারণ এটা তার মাতৃভাষা।,ইতে থিসিসর লাই চাটগাঁইয়া বাছি লইয়্যি কারণ ইয়ান ইতর নিজের হতা।
The sea gives and takes in equal measure therefore fishermen must always be prepared.,সমুদ্র সমান পরিমাণে দেয় ও নেয় তাই জেলেদের সবসময় প্রস্তুত থাকতে হবে।,দরিয়া ওলা দেয় আরবার ওলা লই ফেলায় ওত্থাল্লাই জাইল্ল্যা অঅলেরে সবসময় রেডি থাহন পরে।
Because this dataset exists the Chittagonian dialect will outlive those who speak it today.,এই ডেটাসেট থাকার কারণে চাটগাঁইয়া উপভাষা আজকের বক্তাদের চেয়ে বেশি দিন টিকবে।,ইয়া ডাটাসেট থাহনের লাই চাটগাঁইয়া আঞ্চলিক হতা এহুনর মাইনষর তুনও মেলা দিন থাহিবো।
He fixes motorcycles and dreams of opening his own garage one day.,সে মোটরসাইকেল মেরামত করে এবং একদিন নিজের গ্যারেজ খোলার স্বপ্ন দেখে।,ইতে হোন্ডা ঠিক গরে আর একদিন নিজের গ্যারেজ খুলিবো ওলা সপ্ন দেহে।
She checks the weather forecast every morning before going to the market.,সে বাজারে যাওয়ার আগে প্রতি সকালে আবহাওয়ার পূর্বাভাস দেখে।,ইতে বাজারত যাওনর আগে পত্তি বিয়ানত আবহাওয়া ঠিক আছে নি দেহে।
The school principal announced that exams will begin next Monday.,প্রধান শিক্ষক ঘোষণা করেছেন পরীক্ষা আগামী সোমবার শুরু হবে।,হেডমাস্টার কইয়্যে যে সামনের সোমবার তুন পরীক্ষা শুরু অইবো।
He waits for his wife at the bus stop every evening with an umbrella.,সে প্রতি সন্ধ্যায় ছাতা নিয়ে বাস স্টপে স্ত্রীর জন্য অপেক্ষা করে।,ইতে পত্তি আজিন্নে বেলা ছাতা লই বাস স্টপডত বউওর লাই বসি থাহে।
She organised a cleanup drive along the Karnaphuli riverbank with students.,সে শিক্ষার্থীদের নিয়ে কর্ণফুলী নদীর তীর বরাবর একটি পরিষ্কার অভিযান আয়োজন করেছে।,ইতে ছাত্র অঅলেরে লই কর্ণফুলী নৈর চড সাফ গরণর হাজ গইজ্জে।
The old man remembers when the Chittagong harbour was full of sailing ships.,বৃদ্ধ মনে করতে পারেন যখন চট্টগ্রাম বন্দর পালতোলা জাহাজে পূর্ণ ছিল।,মুরুব্বি মাইনষর মনে আছে যখন চাটগাঁ বন্দর মেলা বড় বড় নৌহাত ভরি আছিল।
She bakes bread every Sunday morning and shares it with her neighbours.,সে প্রতি রবিবার সকালে রুটি বেক করে প্রতিবেশীদের সাথে ভাগ করে।,ইতে পত্তি রবিবার বিয়ান বেলা রুটি বানাই এলাকার মাইনষরে দেয়।
He studies the history of Chittagong to understand why the dialect is the way it is.,চাটগাঁইয়া উপভাষা কেন এমন তা বোঝার জন্য সে চট্টগ্রামের ইতিহাস অধ্যয়ন করে।,চাটগাঁইয়া আঞ্চলিক হতা কেনে ওলা ইয়ান বুঝিত ইতে চাটগাঁর ইতিহাস ফড়ে।
The children went quiet when the grandfather began to tell his sea story.,দাদা তার সমুদ্রের গল্প শুরু করতেই শিশুরা চুপ হয়ে গেছে।,দাদায় দরিয়ার কিসসা শুরু গইলে ফুয়া অঅল নিরিবিলি অই গিয়্যি।
She carries a notebook everywhere to write down interesting Chittagonian phrases.,সে সর্বত্র একটি নোটবুক বহন করে আকর্ষণীয় চাটগাঁইয়া বাক্যাংশ লিখে রাখার জন্য।,ইতে সবসময় এক্কান নোটবুক লয় গম গম চাটগাঁইয়া হতা লেহি রাহিতল্লাই।
He took the long route home because he needed time to think.,সে দীর্ঘ পথে বাড়ি ফিরেছে কারণ ভাবার সময় দরকার ছিল।,ইতে মেলা দূর দি ঘরোত আইয়্যে কারণ ইতর চিন্তার সময় দরকার আছিল।
The new mosque in the village was built entirely with community donations.,গ্রামের নতুন মসজিদটি সম্পূর্ণ সামাজিক দানে নির্মিত হয়েছে।,গাঁওর নুয়া মসিদ গান এলাকার মাইনষর টেঁয়া দি বানিয়্যে।
She passed her driving test on the third attempt and celebrated with sweets.,তৃতীয় চেষ্টায় ড্রাইভিং পরীক্ষায় পাস করেছে এবং মিষ্টি দিয়ে উদযাপন করেছে।,তিনবারর সময় ড্রাইভিং পরীক্ষাত পাশ গইজ্জে আরবার মিষ্টি বিলাইয়্যে।
He watches the stars from his rooftop and dreams of studying astronomy.,সে ছাদ থেকে তারা দেখে এবং জ্যোতির্বিদ্যা পড়ার স্বপ্ন দেখে।,ইতি ছাদ তুন তারা দেহে আর আকাশ লই ফড়িবার সপ্ন দেহে।
The smell of incense and rice cooking fills the lane every evening.,প্রতি সন্ধ্যায় ধূপ ও চাল রান্নার গন্ধ গলি ভরিয়ে দেয়।,পত্তি আজিন্নে বেলা ধূপ আর ভাত রান্ধনর ঘ্রাণ গলি ভরি যায়।
She learned to drive at forty because she refused to depend on others.,সে চল্লিশ বছরে গাড়ি চালানো শিখেছে কারণ অন্যদের উপর নির্ভর করতে চায়নি।,ইতে চল্লিশ বছর বয়সত গাড়ি চালানি শিখ্যি কারণ আরর ওপর থাহন ন চায়।
He delivered the research paper minutes before the submission deadline.,সময়সীমার মিনিট আগে সে গবেষণাপত্র জমা দিয়েছে।,সময় শেষ অওনর এক মিনিট আগে ইতে রিসার্চ পেপার জমা দিয়্যি।
The children play in the same lane where their parents played thirty years ago.,শিশুরা একই গলিতে খেলে যেখানে তাদের বাবা-মা ত্রিশ বছর আগে খেলতেন।,ফুয়া অঅল ওলা গলিত খেলে যেডে ইতারার বাপ-মা তিরিশ বছর আগে খেলিত।
She volunteers at the library every weekend helping children with reading.,সে প্রতি সপ্তাহান্তে লাইব্রেরিতে শিশুদের পড়তে সাহায্য করে স্বেচ্ছাসেবী কাজ করে।,ইতে পত্তি বন্ধর দিনত লাইব্রেরিত ফুয়া অঅলেরে ফড়াশোনা শিখায়।
He returned the found wallet not because someone was watching but because it was right.,সে পাওয়া মানিব্যাগ ফেরত দিয়েছে কারণ কেউ দেখছিল বলে নয় বরং এটা সঠিক ছিল।,ইতে কুঁড়াই পাওয়া মানিব্যাগ ফিরি দি দিয়্যি কারণ ইয়ান করা গম হাজ।
The first call to prayer after a sleepless night feels like a hand on the shoulder.,ঘুমহীন রাতের পর প্রথম আজান কাঁধে একটি হাতের মতো লাগে।,ন ঘুমাই রাইত কাডানর পর বিয়ানর আজান মেলা শান্তি দেয়।
She negotiated with the landlord for three months before agreeing on the rent.,ভাড়ায় সম্মত হওয়ার আগে তিন মাস বাড়িওয়ালার সাথে আলোচনা করেছে।,ভাড়া ঠিক গরণর আগে তিন মাস ঘর ওয়ালার লয় হতা কইয়্যে।
He walks his daughter to school every morning and she holds his hand the whole way.,সে প্রতি সকালে মেয়েকে স্কুলে পৌঁছে দেয় এবং পুরো পথ মেয়ে তার হাত ধরে থাকে।,ইতে পত্তি বিয়ান বেলা মাইয়্যারে ইশকুলত দি আইয়্যে আর মাইয়্যা ইতর হাত ধরি থাহে।
The university cafeteria runs out of rice every Friday because so many students stay.,বিশ্ববিদ্যালয়ের ক্যাফেটেরিয়ায় প্রতি শুক্রবার ভাত শেষ হয়ে যায় কারণ এত শিক্ষার্থী থাকে।,ভার্সিটির ক্যান্টিনত পত্তি শুক্কুরবার ভাত হমি যায় কারণ মেলা ছাত্র থাহে।
She reads the newspaper every morning to start her day informed.,সে প্রতিদিন সকালে জ্ঞাত হয়ে দিন শুরু করতে সংবাদপত্র পড়ে।,ইতে পত্তি বিয়ান বেলা খবরর কাগজ ফড়ি দিন শুরু গরে।
The neighbourhood flooded and everyone helped each other without being asked.,পাড়া ডুবে গেছে এবং সবাই না বলতেই একে অপরকে সাহায্য করেছে।,পাড়া ডুইবি গিয়্যি আর বেগগুন কেনরে ন কইলেও এক্কজন আরকজনরে সাহায্য গইজ্জে।
He said goodbye to his mother at the bus station and neither of them cried.,সে বাস স্টেশনে মায়ের সাথে বিদায় নিয়েছে এবং কেউই কাঁদেনি।,ইতে বাস স্টেশনত মার তুন বিদায় লইয়্যি আর কেউ হাজে নাই।
She answered every exam question in Bangla and then checked them in Chittagonian.,সে প্রতিটি পরীক্ষার প্রশ্ন বাংলায় উত্তর দিয়েছে এবং তারপর চাটগাঁইয়ায় যাচাই করেছে।,ইতে পরীক্ষার পত্তি সওয়াল বাংলাত দি চাটগাঁইয়া হতায় ঠিক আছে নি দেহিছে।
The whole city went quiet during the moment of national remembrance.,জাতীয় স্মরণের মুহূর্তে পুরো শহর নীরব হয়ে গেছে।,দেশের লাই দোয়া গরণর সময় গোট্টা শহর নিরিবিলি অই গিয়্যি।
He says that every person who speaks Chittagonian is a keeper of something rare.,সে বলে চাটগাঁইয়া বলা প্রতিটি মানুষ একটি দুর্লভ জিনিসের রক্ষক।,ইতে কয় যে মাইনষ চাটগাঁইয়া হতায় হতা কয় ইতে মেলা দামি চিজ বাঁচাই রাহ্যি।
She planted a jasmine bush outside her window so the smell would wake her gently.,সে জানালার বাইরে একটি জুঁই ঝোপ লাগিয়েছে যাতে গন্ধে আলতোভাবে ঘুম ভাঙে।,ইতে জানালার বারে জুঁই ফুলর গাছ লাগাইয়্যে যাতে ঘ্রাণত ঘুম ভাঙে।
He reads the same Chittagonian proverb every morning to remind himself of home.,সে প্রতিদিন সকালে একই চাটগাঁইয়া প্রবাদ পড়ে নিজেকে বাড়ির কথা মনে করিয়ে দেয়।,ইতে পত্তি বিয়ান বেলা এক্কান চাটগাঁইয়া হতা ফড়ি নিজের ঘরর কথা মনত গরে।
