#,English,Bangla,Chittagonian
2707,He organized a cultural festival to celebrate Chittagonian music and food.,সে চাটগাঁইয়া সংগীত ও খাবার উদযাপন করতে একটি সাংস্কৃতিক উৎসব আয়োজন করেছে।,ইতে চাটগাঁইয়া গান আর ফোয়াদ (স্বাদ) লই মেলা গইজ্জে।
2708,Young women in Chittagong are starting businesses at a higher rate than ever before.,চট্টগ্রামের তরুণ নারীরা আগের যেকোনো সময়ের চেয়ে বেশি হারে ব্যবসা শুরু করছেন।,চাটগাঁর মাইয়্যা অঅল এহুন আগের তুন মেলা বেশি বেবসা শুরু গরের।
2709,She code-switches effortlessly between Chittagonian Bangla and English.,সে চাটগাঁইয়া বাংলা ও ইংরেজির মধ্যে অনায়াসে কোড-সুইচ করে।,"ইতে চাটগাঁইয়া, বাংলা আর ইংরেজি মিলাই কথা কয়।"
2710,He wants to build an app that teaches Chittagonian dialect to children.,সে একটি অ্যাপ তৈরি করতে চায় যা শিশুদের চাটগাঁইয়া উপভাষা শেখাবে।,ইতে এক্কান অ্যাপ বানাইত চায় যা দি ফুয়া অঅল চাটগাঁইয়া শিখিবো।
2711,Young Chittagonian artists are blending traditional motifs with digital design.,তরুণ চাটগাঁইয়া শিল্পীরা ঐতিহ্যগত মোটিফ ও ডিজিটাল ডিজাইন মিশিয়ে কাজ করছে।,জোয়ান চাটগাঁইয়া শিল্পী অঅল পুরানা আর নুয়া নকশা মিলাই কাম গরের।
2712,She refuses to be ashamed of her dialect when speaking to educated people.,শিক্ষিত মানুষদের সাথে কথা বলার সময় সে তার উপভাষার জন্য লজ্জা পেতে অস্বীকার করে।,ফড়ালেখা জানা মাইনষর লয় হতা কওন সময় ইতে ইতর হতা লই লজ্জা ন পায়।
2713,The next generation will decide whether the Chittagonian dialect survives digitally.,পরবর্তী প্রজন্ম সিদ্ধান্ত নেবে চাটগাঁইয়া উপভাষা ডিজিটালি টিকবে কি না।,পরের প্রজন্ম ঠিক গরিবে চাটগাঁইয়া আঞ্চলিক হতা ডিজিটাল দুনিয়াত থাহিবো কি না।
2714,He created a Chittagonian language Wikipedia stub as a passion project.,সে আবেগের প্রকল্প হিসেবে চাটগাঁইয়া ভাষা উইকিপিডিয়া স্টাব তৈরি করেছে।,ইতে মায়া গরি চাটগাঁইয়া উইকিপিডিয়া স্টাব বানাইয়্যে।
2715,Young people are posting Chittagonian memes and jokes on social media.,তরুণরা সামাজিক মাধ্যমে চাটগাঁইয়া মিম ও কৌতুক পোস্ট করছে।,জোয়ান অঅল সোশ্যাল মিডিয়াত চাটগাঁইয়া মিম আর কিসসা পোস্ট গরের।
2716,She says her generation is the bridge between the old Chittagong and the new.,সে বলে তার প্রজন্ম পুরনো চট্টগ্রাম ও নতুনের মধ্যে সেতু।,ইতে কয় ইতর প্রজন্ম অইলো পুরানা আর নুয়া চাটগাঁর মাজে সেঁতু।
2717,Young researchers like her are proving that NLP can serve every language.,তার মতো তরুণ গবেষকরা প্রমাণ করছেন যে এনএলপি প্রতিটি ভাষার সেবা করতে পারে।,ইতর লাহান জোয়ান রিসার্চর মাইনষ অঅল দেখাই দিয়্যি যে এনএলপি দি সব হতার হাজ গরণ যায়।
2718,He says the old men at the tea stall are his best source of Chittagonian vocabulary.,সে বলে চায়ের দোকানের বৃদ্ধরা তার চাটগাঁইয়া শব্দভাণ্ডারের সেরা উৎস।,ইতে কয় চায়র দোকানর মুরুব্বি অঅলই চাটগাঁইয়া হতার আসল জাগা।
2719,She wears traditional Chittagonian fabric to her university presentations proudly.,সে গর্বের সাথে বিশ্ববিদ্যালয়ের উপস্থাপনায় ঐতিহ্যগত চাটগাঁইয়া কাপড় পরে।,ইতে ভার্সিটির প্রোগ্রামত গর্ব করি চাটগাঁইয়া হাপড় পইজ্জে।
2720,The gap between village youth and city youth in Chittagong is widening fast.,চট্টগ্রামে গ্রাম ও শহরের তরুণদের মধ্যে ব্যবধান দ্রুত বাড়ছে।,চাটগাঁর গাঁও আর শহরর জোয়ান অঅলের মাজে পার্থক্য বাড়ের।
2721,He wants his thesis to inspire other students from minority dialects to do NLP research.,সে চায় তার থিসিস সংখ্যালঘু উপভাষার অন্য শিক্ষার্থীদের এনএলপি গবেষণায় অনুপ্রাণিত করুক।,ইতে চায় ইতর থিসিস দেখি অন্য ছাত্র অঅল এনএলপি রিসার্চত আগাইয়া আইক।
2722,She recorded her grandmother for six hours and those recordings became the seed of the dataset.,সে ছয় ঘণ্টা দাদিকে রেকর্ড করেছে এবং সেই রেকর্ডিং ডেটাসেটের বীজ হয়েছে।,ইতে ছয় ঘণ্টা দাদির হতা রেকর্ড গইজ্জে আর ইয়া ডেটাসেটর মেইন চিজ অইছে।
2723,Young Chittagonian professionals abroad keep the dialect alive in their homes.,বিদেশে চাটগাঁইয়া তরুণ পেশাদাররা বাড়িতে উপভাষাকে জীবিত রাখছেন।,বিদেশত থাহা চাটগাঁইয়া মাইনষ ঘরর হতা বাঁচাই রাহ্যি।
2724,He says that studying his dialect made him more confident not less.,সে বলে তার উপভাষা অধ্যয়ন তাকে কম নয় বেশি আত্মবিশ্বাসী করেছে।,ইতে কয় আঞ্চলিক হতা লই ফড়াশোনা করি ইতে মেলা সাহসী অই গিয়্যি।
2725,She dreams of the day when a child can learn Chittagonian from an AI tutor.,সে স্বপ্ন দেখে যে দিন একটি শিশু এআই টিউটর থেকে চাটগাঁইয়া শিখতে পারবে।,ইতে সপ্ন দেহে একদিন এক্কান ফুয়া এআই দি চাটগাঁইয়া হতা শিখিবো।
2726,Young Chittagonian writers are self-publishing poetry in the dialect online.,তরুণ চাটগাঁইয়া লেখকরা অনলাইনে উপভাষায় কবিতা স্ব-প্রকাশ করছেন।,চাটগাঁর জোয়ান লেহক অঅল অনলাইনত নিজের আঞ্চলিক হতায় কবিতা লেহে।
2727,He says the NLP thesis is not just academic work but a love letter to his city.,সে বলে এনএলপি থিসিস শুধু একাডেমিক কাজ নয় এটা তার শহরের প্রতি প্রেমপত্র।,"ইতে হয় এনএলপি থিসিস শুধু ফড়াশোনার হাজ ন অয়, ইয়ান ইতর শহরর লাই মায়ার চিঠি।"
2728,She uses both Chittagonian and Bangla equally and sees no contradiction in that.,সে চাটগাঁইয়া ও বাংলা সমানভাবে ব্যবহার করে এবং এতে কোনো বিরোধ দেখে না।,"ইতে চাটগাঁইয়া আর বাংলা মিলাই হতা কয়, ইয়া লই ইতর হঁন সমস্যা নাই।"
2729,Young people must learn from elders before the knowledge is gone forever.,তরুণদের বড়দের কাছ থেকে শিখতে হবে জ্ঞান চিরতরে চলে যাওয়ার আগে।,জোয়ান অঅলেরে মুরুব্বি মাইনষর তুন জ্ঞান শিখি লওন দরকার।
2730,He is only twenty-two and already training an NLP model for his mother tongue.,সে মাত্র বাইশ বছর বয়সী এবং ইতিমধ্যে মাতৃভাষার জন্য এনএলপি মডেল প্রশিক্ষণ দিচ্ছে।,ইতে মাত্র বাইশ বছর বয়সত নিজর হতার লাই এনএলপি মডেল বানাইয়ের।
2731,The Chittagonian youth of today are the guardians of the dialect of tomorrow.,আজকের চাটগাঁইয়া তরুণরা আগামীকালের উপভাষার অভিভাবক।,চাটগাঁর জোয়ান ফুয়াঅঅলই আঞ্চলিক হতার আসল মালিক।
2732,She says the hardest thing was not coding but convincing herself she belonged in research.,সে বলে সবচেয়ে কঠিন কোডিং নয় বরং নিজেকে বোঝানো যে সে গবেষণায় আছে।,"ইতে কয় কোডিং ন অয়, নিজেরে মানান যে আঁই রিসার্চত আছি, ইয়া বড় হাজ।"
2733,He posts Chittagonian dialect lessons on TikTok and has thousands of followers.,সে টিকটকে চাটগাঁইয়া উপভাষার পাঠ পোস্ট করে এবং হাজার হাজার অনুসরণকারী আছে।,ইতে টিকটকত চাটগাঁইয়া হতা শিখায় আর মেলা মাইনষ ইতেরে ফলো গরে।
2734,Young people from Chittagong are redefining what it means to be Chittagonian.,চট্টগ্রামের তরুণরা নতুনভাবে সংজ্ঞায়িত করছে চাটগাঁইয়া হওয়া মানে কী।,চাটগাঁর জোয়ান অঅল চাটগাঁইয়া অওনর মানে নুয়া করি বুজাইয়ের।
2735,She says research gives her a reason to stay in Chittagong instead of leaving.,সে বলে গবেষণা তাকে চলে না গিয়ে চট্টগ্রামে থাকার কারণ দেয়।,ইতে কয় রিসার্চর লাই ইতে চাটগাঁ ছড়ি ন গিয়্যি।
2736,He left a corporate job to dedicate himself to Chittagonian language research.,সে চাটগাঁইয়া ভাষা গবেষণায় নিজেকে উৎসর্গ করতে কর্পোরেট চাকরি ছেড়েছে।,ইতে চাটগাঁইয়া হতার লাই বড় চঁহুরি ছড়ি দিয়্যি।
2737,She says every young person who speaks Chittagonian is keeping history alive.,সে বলে চাটগাঁইয়া বলা প্রতিটি তরুণ ইতিহাস জীবিত রাখছে।,ইতে কয় পত্তি জোয়ান ফুয়া চাটগাঁইয়া হতা কইলে ইতিহাস বাঁচাই রাখের।
2738,Young entrepreneurs in Chittagong are drawing inspiration from their fishing heritage.,চট্টগ্রামের তরুণ উদ্যোক্তারা তাদের মৎস্যশিকারের ঐতিহ্য থেকে অনুপ্রেরণা নিচ্ছেন।,চাটগাঁর জোয়ান বেবসাঅঅল ইতারার জাইল্ল্যা বাপ-দাদার তুন বুদ্ধি লয়।
2739,He says that being young in Chittagong means carrying the sea wherever you go.,সে বলে চট্টগ্রামে তরুণ হওয়া মানে যেখানেই যাও সমুদ্র বহন করা।,ইতে কয় চাটগাঁর জোয়ান অইলে লয় লয় দরিয়ার মায়াও থাহে।
2740,This dataset built by a young researcher is proof that Chittagonian has a digital future.,একজন তরুণ গবেষকের তৈরি এই ডেটাসেট প্রমাণ যে চাটগাঁইয়ার একটি ডিজিটাল ভবিষ্যৎ আছে।,এক জোয়ান রিসার্চর মাইনষর এই কাম প্রমাণ গরে চাটগাঁইয়া হতার ডিজিটাল ভবিষ্যৎ আছে।
2741,The village wakes up before sunrise to the sound of the azaan.,গ্রাম আজানের শব্দে সূর্যোদয়ের আগে জেগে ওঠে।,গাঁও আজানর শব্দে বিয়ান বেলর আগে উডে।
2742,She fetches water from the tube well every morning before cooking.,সে প্রতিদিন সকালে রান্নার আগে নলকূপ থেকে পানি আনে।,ইতে পত্তি বিয়ান বেলা রান্ধনর আগে নলকূপ তুন পানি আনে।
2743,He threshes rice in the courtyard while his wife winnows it in the breeze.,সে উঠানে ধান মাড়াই করে আর স্ত্রী বাতাসে ঝাড়াই করেন।,ইতে উঠানত ধান মাড়াই গরে আর ইতর বউ বাতাসত ধান সাফ গরে।
2744,The village elder settles every dispute with wisdom not courts.,গ্রামের মুরুব্বি আদালত নয় প্রজ্ঞা দিয়ে প্রতিটি বিরোধ মীমাংসা করেন।,গাঁওর মুরুব্বি কোর্টত ন গই নিজের বুদ্ধি দি সব সমস্যা মিটাই দেয়।
2745,She raises chickens and sells eggs at the weekly market.,সে মুরগি পালে এবং সাপ্তাহিক বাজারে ডিম বিক্রি করে।,ইতে মুরগি পালে আর হাটত ডিম বেচে।
2746,The children walk three kilometres to school in the monsoon rain without complaint.,শিশুরা বর্ষার বৃষ্টিতে অভিযোগ ছাড়া তিন কিলোমিটার হেঁটে স্কুলে যায়।,ফুয়া অঅল বষ্যার বৃষ্টিত কিচ্ছু ন কই তিন কিলোমিটার হাঁডি ইশকুলত যায়।
2747,He repairs fishing nets by the light of a kerosene lamp every evening.,সে প্রতি সন্ধ্যায় কেরোসিন প্রদীপের আলোয় মাছ ধরার জাল মেরামত করে।,ইতে পত্তি আজিন্নে বেলা কুপি বাতি জ্বালাই জাল ঠিক গরে।
2748,The rice harvest brings the whole extended family back to the village.,ধান কাটার মৌসুম পুরো বর্ধিত পরিবারকে গ্রামে ফিরিয়ে আনে।,ধান হাডনর সময় গোট্টা পরিবার গাঁঅত আই জমা অয়।
2749,She knows every family in the village and their stories by heart.,সে গ্রামের প্রতিটি পরিবার ও তাদের গল্প মুখস্থ জানে।,ইতে গাঁওর পত্তি ঘর আর ইতারার কিসসা মুখস্ত জানে।
2750,The mosque is the centre of life social religious and practical.,মসজিদ জীবনের কেন্দ্র সামাজিক ধর্মীয় ও ব্যবহারিক।,মসিদই অইলো গাঁওর আসল জাগা।
2751,He trades vegetables for fish with his neighbour every Tuesday.,সে প্রতি মঙ্গলবার প্রতিবেশীর সাথে মাছের বদলে সবজি বিনিময় করে।,ইতে পত্তি মঙ্গলবার হাতর ঘরের মাইনষর লয় মাছ-তরকারি বদল গরে।
2752,The midwife has delivered every baby in this village for thirty years.,এই গ্রামে ত্রিশ বছর ধরে দাই প্রতিটি শিশু জন্মানোর সময় উপস্থিত থাকেন।,ইয়া গাঁঅত ত্রিশ বছর ধরি দাই ফুয়া খালাস গরাইয়ের।
2753,She makes oil from mustard seeds using a stone press inherited from her mother.,সে মায়ের কাছ থেকে পাওয়া পাথরের প্রেস দিয়ে সরিষা থেকে তেল বানায়।,ইতে মার তুন পাওন পাথরত সরিষা পিষি তেল বানায়।
2754,The village tea stall is where news travels faster than any newspaper.,গ্রামের চায়ের দোকানে যেকোনো সংবাদপত্রের চেয়ে দ্রুত খবর ছড়ায়।,চায়র দোকানত খবর সব তুন তাড়াতাড়ি ছড়ায়।
2755,He planted bamboo along the embankment to protect the village from flooding.,গ্রামকে বন্যা থেকে রক্ষা করতে সে বাঁধ বরাবর বাঁশ লাগিয়েছে।,গাঁও বাঁচাইত ইতে বাঁধর হাতত বাঁশ লাগাইয়্যে।
2756,The Chittagonian village has its own dialect within the dialect spoken only here.,চাটগাঁইয়া গ্রামের নিজস্ব উপভাষা আছে যা শুধু এখানে বলা হয়।,চাটগাঁর পত্তি গাঁওর হতা আলাদা।
2757,She sends her children to the city for education but prays they will return.,সে শিক্ষার জন্য শিশুদের শহরে পাঠায় কিন্তু দোয়া করে তারা ফিরে আসুক।,ইতে ফড়াশোনার লাই ফুয়াহরে শহরত পাডায় কিন্তু দোয়া গরে তারা ফিরি আইক।
2758,The village pond is used for bathing washing and raising fish all at once.,গ্রামের পুকুর একই সাথে গোসল করা কাপড় ধোয়া ও মাছ চাষে ব্যবহার হয়।,"গাঁওর পুহুরর পানি গোছল, হাপড় ধুবন আর মাছ ধরণত ব্যবহার অয়/ওয়।"
2759,He says city people do not understand how much villages give to the nation.,সে বলে শহরের মানুষ বোঝে না গ্রাম জাতিকে কতটা দেয়।,ইতে কয় শহরর মাইনষ ন বুঝে গাঁও দেশরে কতানি দেয়।
2760,The whole village comes together to build a new house for a newly-wed couple.,নবদম্পতির জন্য নতুন ঘর তৈরিতে পুরো গ্রাম একসাথে আসে।,নুয়া বিয়া গইজ্জে দে দম্পতির ঘর বানাইত বেগগুন মিলি কাম গরে।
2761,She preserves the Chittagonian way of measuring time by the tides not the clock.,সে ঘড়ি নয় জোয়ারে সময় মাপার চাটগাঁইয়া পদ্ধতি সংরক্ষণ করে।,ইতে ঘড়ি ন চাই জোয়ারর টাইম দি সময় বুঝে।
2762,He has never left his village but knows more about the sea than anyone.,সে কখনো গ্রাম ছাড়েনি কিন্তু সমুদ্র সম্পর্কে যেকোনো মানুষের চেয়ে বেশি জানে।,ইতে হঁনদিন গাঁও ছড়ি ন গিয়্যি কিন্তু দরিয়ার সব জানে।
2763,The village school has one teacher for four classes and still produces bright students.,গ্রামের স্কুলে চার শ্রেণীর জন্য একজন শিক্ষক আছেন এবং তবুও মেধাবী শিক্ষার্থী তৈরি হয়।,"গাঁওর ইশকুলত চার ক্লাসত একজন মাস্টার, তাও গম ছাত্র অয়।"
2764,She grows jackfruit lychee and banana and never needs to buy fruit from the market.,সে কাঁঠাল লিচু ও কলা চাষ করে এবং কখনো বাজার থেকে ফল কিনতে হয় না।,"ইতে কাঁডল, লিচু আর হলা চাষ গরে, বাজার তুন হিনি ন লাগে।"
2765,The sound of the evening azaan followed by crickets is the soundtrack of his childhood.,সন্ধ্যার আজানের পরে ঝিঁঝিঁর শব্দ তার শৈশবের সাউন্ডট্র্যাক।,আজিন্নে আজানর পরে ঝিঁঝিঁ হুকন ইতর ছোটবেলার কিসসা।
2766,He says the village teaches you patience in a way the city never can.,সে বলে গ্রাম ধৈর্য শেখায় যেভাবে শহর কখনো পারে না।,ইতে কয় গাঁও ধৈর্য শিখায় যা শহর ন পারে।
2767,She memorised the names of every plant in the surrounding forest as a child.,শিশু হিসেবে সে আশেপাশের বনের প্রতিটি গাছের নাম মুখস্থ করেছে।,ছোট অওনর সময় ইতে জঙ্গলর পত্তি গাছর নাম মুখস্ত গইজ্জে।
2768,The first electricity pole in the village was installed three years ago.,গ্রামে প্রথম বিদ্যুতের খুঁটি তিন বছর আগে স্থাপন করা হয়েছে।,গাঁঅত তিন বছর আগে কারেন্টর খুঁটি আইয়্যে।
2769,He walks to the river every dawn to pray facing the rising sun.,সে প্রতি ভোরে উদীয়মান সূর্যের দিকে মুখ করে দোয়া করতে নদীতে হাঁটে।,ইতে পত্তি বিয়ান বেল তুন নদীত হাঁডি দোয়া গরে।
2770,The village well is also the place where all the important news is shared.,গ্রামের কূপ হলো সেই জায়গা যেখানে সমস্ত গুরুত্বপূর্ণ খবরও ভাগ করা হয়।,গাঁওর কুয়া অইলো জাগা যেহঁডে সব খবর অয়।
2771,She says that simplicity is not poverty it is a way of choosing what matters.,সে বলে সরলতা দারিদ্র্য নয় এটা যা গুরুত্বপূর্ণ তা বেছে নেওয়ার একটি উপায়।,"ইতে কয় সরলতা গরিবী ন অয়, ইয়ান গম চিজ বেছে লওন।"
2772,He keeps a journal of his village's stories so they will not be forgotten.,সে গ্রামের গল্পের জার্নাল রাখে যাতে ভুলে না যায়।,ইতে গাঁওর কিসসা অঅল ডায়েরিত লেহি রাহে।
2773,The village festivals mark the passage of time better than any calendar.,গ্রামের উৎসবগুলো যেকোনো ক্যালেন্ডারের চেয়ে ভালো সময়ের প্রবাহ চিহ্নিত করে।,গাঁওর মেলা অঅল সময়র গম হিসাব দেয়।
2774,She says that her roots are in the village even though her branches reach the city.,সে বলে তার শিকড় গ্রামে যদিও তার শাখা শহরে পৌঁছেছে।,"ইতে কয় ইতর গোড় গাঁঅত, কিন্তু ইতর হাজ শহরত।"
2775,He says the best teachers he ever had were the village elders not the schoolroom.,সে বলে তার সেরা শিক্ষক ছিলেন গ্রামের মুরুব্বিরা শ্রেণিকক্ষ নয়।,ইতে কয় ইতর গম মাস্টার অইলো মুরুব্বি অঅল।
2776,The Chittagonian village carries its dialect the way the river carries silt — invisibly and permanently.,চাটগাঁইয়া গ্রাম তার উপভাষা বহন করে যেভাবে নদী পলি বহন করে — অদৃশ্যভাবে ও স্থায়ীভাবে।,চাটগাঁর গাঁও আঞ্চলিক হতা বাঁচাই রাহে নৈর পলিমাটির লাহান।
2777,She hopes her village will still be speaking Chittagonian when her grandchildren grow up.,সে আশা করে নাতিনাতনিরা বড় হলে তার গ্রাম এখনো চাটগাঁইয়া বলবে।,ইতে আশা গরে ইতর নাতি-পুতি অঅলও চাটগাঁইয়া হতা কইবো।
2778,The village is changing but its spirit remains constant like the tide.,গ্রাম পরিবর্তন হচ্ছে কিন্তু এর চেতনা জোয়ারের মতো অটল থাকে।,গাঁও বদলাই যারগৈ কিন্তু ইতর প্রাণ জোয়ারর লাহান।
2779,He says every brick in this village was laid with a story attached to it.,সে বলে এই গ্রামের প্রতিটি ইট একটি গল্প সাথে নিয়ে স্থাপিত হয়েছে।,ইতে কয় ইয়া গাঁওর পত্তি ইটা এক্কান কিসসা আছে।
2780,The village gave him everything — language identity faith and the sea.,গ্রাম তাকে সব দিয়েছে — ভাষা পরিচয় বিশ্বাস ও সমুদ্র।,"গাঁও ইতেরে সব দিয়্যি, হতা, পরিচয় আর দরিয়া।"
2781,He told a Chittagonian joke so fast no one could follow it.,সে এত দ্রুত চাটগাঁইয়া কৌতুক বলেছে যে কেউ বুঝতে পারেনি।,ইতে মেলা তাড়াতাড়ি কিসসা হইয়্যে যে কেউ বুঝি নাই।
2782,She burned the fish and blamed the wood for being too dry.,সে মাছ পুড়িয়েছে এবং কাঠকে দোষ দিয়েছে যে কাঠ অনেক শুকনো।,ইতে মাছ হুরি ফেলাইয়্যে আর হাডরে দোষ দিয়্যি।
2783,He arrived at the wedding an hour early and spent it eating alone.,সে বিয়েতে এক ঘণ্টা আগে পৌঁছেছে এবং একা একা খেয়ে সেটা কাটিয়েছে।,ইতে বিয়াত এক ঘণ্টা আগে ফঁইচ্ছি এক্কাই হানা হাইয়্যে।
2784,The cat looked at the empty fish plate and then looked at him with great disapproval.,বিড়াল খালি মাছের প্লেট দেখল তারপর তার দিকে প্রচণ্ড অসন্তোষে তাকাল।,বিল্লাই খালি মাছর প্লেট দেহি ইতে ইতর দিকে হরাপ করি দেহিছে।
2785,She said she was on a diet and then ate three servings of rice.,সে বলল ডায়েটে আছে এবং তারপর তিন বার ভাত খেল।,"ইতে কয় ইতে ডায়েটত আছে, আবার তিনবার ভাত হাইয়্যে।"
2786,He called himself a morning person until his alarm went off at five.,সে নিজেকে সকালের মানুষ বলত যতক্ষণ না পাঁচটায় অ্যালার্ম বেজেছে।,"ইতে কয় ইতে বিয়ানর মাইনষ, কিন্তু পাঁচটা অ্যালার্ম বাজে দেহিছে।"
2787,She asked for directions and the man gave her a forty-minute life story first.,সে পথ জিজ্ঞেস করেছে এবং লোকটি আগে চল্লিশ মিনিটের জীবনের গল্প বলেছে।,ইতে পথ পুসার গইজ্জে আর মাইনষ ইয়া চল্লিশ মিনিট ইতর কিসসা কইয়্যে।
2788,The Chittagonian proverb says the lazy man always finds the fish already caught.,চাটগাঁইয়া প্রবাদ বলে অলস মানুষ সবসময় মাছ আগেই ধরা পায়।,চাটগাঁইয়া প্রবাদ কয় কুঁইড়্যা মাইনষর ভাগ্যে মেলা মাছ জুট্টে।
2789,He promised to fix the leak tomorrow and said the same thing for seven years.,সে আগামীকাল লিক ঠিক করার প্রতিশ্রুতি দিয়েছে এবং সাত বছর ধরে একই কথা বলছে।,"ইতে হাইল্যা লিক ঠিক গরিত কইয়্যে, ইয়া সাত বছর ধরি কইয়ের।"
2790,She said the sea breeze gives her energy and the sea itself takes it all back.,সে বলল সমুদ্রের বাতাস শক্তি দেয় এবং সমুদ্র নিজেই সব ফিরিয়ে নেয়।,ইতে কয় দরিয়ার বাতাস শক্তি দেয় আর দরিয়া লয়।
2791,He argued that rice three times a day is not a habit but a human right.,সে তর্ক করেছে দিনে তিনবার ভাত খাওয়া অভ্যাস নয় মানবাধিকার।,ইতে তর্ক গইজ্জে দিনত তিনবার ভাত হাউন ইয়া হক্কর হতা।
2792,She forgot her shopping list and came home with everything except what she needed.,সে কেনাকাটার তালিকা ভুলে গেছে এবং যা দরকার ছিল সেটা ছাড়া সব নিয়ে বাড়ি ফিরেছে।,ইতে বাজারর ফর্দ ভুলি গেয়্যি আর দরকারি চিজ ছাড়া সব লয় আইয়্যে।
2793,The fisherman said the one that got away was definitely the biggest fish in the sea.,জেলে বলল যেটা পালিয়ে গেছে সেটা নিশ্চিতভাবে সমুদ্রের সবচেয়ে বড় মাছ ছিল।,জাইল্ল্যা কয় যা পালাই গেয়্যি ইয়ান দরিয়ার মেলা বড় মাছ আছিল।
2794,He said he was not late he just arrived at the Chittagonian time which is flexible.,সে বলল সে দেরি করেনি শুধু চাটগাঁইয়া সময়ে পৌঁছেছে যা নমনীয়।,"ইতে কয় ইতে দেরি ন গরে, ইয়া চাটগাঁইয়া টাইম।"
2795,She claimed she was not sleeping she was just resting her eyes during the lecture.,সে দাবি করল ঘুমাচ্ছে না বক্তৃতার সময় শুধু চোখ বিশ্রাম দিচ্ছে।,"ইতে কয় ইতে ঘুমায় নাই, চোখ জিরান দিয়ের।"
2796,The Chittagonian word for a person who eats too much translates roughly as sea mouth.,যে বেশি খায় তার জন্য চাটগাঁইয়া শব্দের মোটামুটি অনুবাদ সমুদ্রের মুখ।,চাটগাঁইয়া হতায় বেশি হাইয়া মাইনষরে দরিয়ার মুখ কয়।
2797,He tried to explain artificial intelligence to his grandfather using only fish metaphors.,সে শুধু মাছের রূপক ব্যবহার করে দাদাকে কৃত্রিম বুদ্ধিমত্তা বোঝানোর চেষ্টা করেছে।,ইতে মাছর উদাহরণ দি দাদিরে এআই বুঝানির চেষ্টা গইজ্জে।
2798,She asked if the NLP model could translate her mother-in-law and was told it was too complex.,সে জিজ্ঞেস করল এনএলপি মডেল শাশুড়ির কথা অনুবাদ করতে পারবে কি না এবং বলা হলো এটা বেশি জটিল।,"ইতে পুসার গইজ্জে এনএলপি মডেল হশূড়র হতা বুঝিবো নি, ইয়া মেলা হষ্টর।"
2799,He bought a smart watch to be more productive and now only tells the time.,সে আরও উৎপাদনশীল হতে স্মার্টওয়াচ কিনেছে এবং এখন শুধু সময় দেখে।,ইতে আরও কাম গরিত স্মার্টওয়াচ হিনি এহন শুধু সময় দেহে।
2800,She said she would finish the dataset in a week and that was three months ago.,সে বলল এক সপ্তাহে ডেটাসেট শেষ করবে এবং এটা তিন মাস আগের কথা।,"ইতে হইয়্যে এক সপ্তাত ডাটাসেট শেষ গরি ফেলাইবো, ইয়া তিন মাস আগে কইয়্যে।"
2801,The Chittagonian riddle asks what has no body but feeds the whole village.,চাটগাঁইয়া ধাঁধা জিজ্ঞেস করে কার কোনো দেহ নেই কিন্তু পুরো গ্রামকে খাওয়ায়।,"চাটগাঁইয়া কিসসা কয়, হঁন চিজর শরীল নাই কিন্তু গোট্টা গাঁও খায়?"
2802,He trained an AI model and now the AI makes the same mistakes he does.,সে একটি এআই মডেল প্রশিক্ষণ দিয়েছে এবং এখন এআই তার মতোই ভুল করে।,ইতে এক্কান এআই মডেল ট্রেনিং দিয়্যি আর এহন ইয়া ইতর লাহান ভুল গরে।
2803,She typed her thesis on her phone and autocorrect changed Chittagonian to chatting one.,সে ফোনে থিসিস টাইপ করেছে এবং অটোকরেক্ট চাটগাঁইয়া বদলে চ্যাটিং ওয়ান করে দিয়েছে।,ইতে ফোনত থিসিস লিখ্যি আর অটোকরেক্ট সব বদলাই দিয়্যি।
2804,He said the model understood Chittagonian better than his cousins from Dhaka.,সে বলল মডেল ঢাকার কাজিনদের চেয়ে চাটগাঁইয়া ভালো বুঝেছে।,ইতে হয় মডেল গান ঢাকার মাইনষর তুন চাটগাঁইয়া গম বুজে।
2805,She told the chatbot to respond in Chittagonian and it responded in Portuguese.,সে চ্যাটবটকে চাটগাঁইয়ায় উত্তর দিতে বলেছে এবং এটা পর্তুগিজে উত্তর দিয়েছে।,ইতে চ্যাটবটরে চাটগাঁইয়া হতা কইত কইয়্যে আর ইয়া পর্তুগিজ হতা হইয়্যে।
2806,The fisherman's wife said the biggest lie is I will be home before dark.,জেলের স্ত্রী বললেন সবচেয়ে বড় মিথ্যা হলো অন্ধকারের আগে বাড়ি থাকব।,"জাইল্ল্যার বউ হ্য, মেলা বড় মিছা হতা অইলো বিয়ানর মাজে ঘরোত আইয়্যুম।"
2807,He said he was multitasking by sleeping during a meeting and dreaming about work.,সে বলল মিটিংয়ে ঘুমিয়ে ও কাজের স্বপ্ন দেখে মাল্টিটাস্কিং করছে।,ইতে হয় মিটিংত ঘুমাইয়া হাজর সপ্ন দেহন অইলো মাল্টিটাস্কিং।
2808,She named her cat GPU because it runs hot and is very expensive to maintain.,সে বিড়ালের নাম রেখেছে জিপিইউ কারণ এটা গরম হয় এবং রাখা অনেক ব্যয়বহুল।,ইতে বিল্লাইর নাম রাইখ্যে জিপিইউ (GPU) হারণ ইয়ান গরম অয় আর ইয়ারে রাহন মেলা হষ্টর।
